Nº     ;Lançamento;Anotação;Conta         ;"Título"                                             ;Data      ;"Nº doc 1"                 ;"Nº doc 2";"Débito"      ;"Crédito"     ;"Conceito"                      
1      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"0,000"       ;"6,040"       ;"CONTA TRANSITÓRIA"             
2      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"0,000"       ;"1,890"       ;"CONTA TRANSITÓRIA"             
3      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"0,000"       ;"2,730"       ;"CONTA TRANSITÓRIA"             
4      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"0,000"       ;"1,290"       ;"CONTA TRANSITÓRIA"             
5      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"0,000"       ;"1,240"       ;"CONTA TRANSITÓRIA"             
6      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"0,000"       ;"9,070"       ;"CONTA TRANSITÓRIA"             
7      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"6,040"       ;"0,000"       ;"CONTA TRANSITÓRIA"             
8      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"1,890"       ;"0,000"       ;"CONTA TRANSITÓRIA"             
9      ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"2,730"       ;"0,000"       ;"CONTA TRANSITÓRIA"             
10     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"1,290"       ;"0,000"       ;"CONTA TRANSITÓRIA"             
11     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"1,240"       ;"0,000"       ;"CONTA TRANSITÓRIA"             
12     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0403"    ;"9,070"       ;"0,000"       ;"CONTA TRANSITÓRIA"             
13     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"752,400"     ;"CONTA TRANSITÓRIA"             
14     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"752,400"     ;"0,000"       ;"CONTA TRANSITÓRIA"             
15     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"514,000"     ;"CONTA TRANSITÓRIA"             
16     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"10,730"      ;"CONTA TRANSITÓRIA"             
17     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"57,900"      ;"CONTA TRANSITÓRIA"             
18     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"67,400"      ;"CONTA TRANSITÓRIA"             
19     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"4,010"       ;"CONTA TRANSITÓRIA"             
20     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"3,050"       ;"CONTA TRANSITÓRIA"             
21     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"0,000"       ;"247,650"     ;"CONTA TRANSITÓRIA"             
22     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"514,000"     ;"0,000"       ;"CONTA TRANSITÓRIA"             
23     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"10,730"      ;"0,000"       ;"CONTA TRANSITÓRIA"             
24     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"57,900"      ;"0,000"       ;"CONTA TRANSITÓRIA"             
25     ;1         ;0       ;"49909999"    ;"CONTA TRANSITÓRIA"                                  ;02-01-2014;"000021436_088_02012014"   ;"0413"    ;"67,400"      ;"0,000"       ;"CONTA TRANSITÓRIA"             
